Entidad federativa,Grupos quinquenales de edad,Estimador,Población total,Hombres,Mujeres
25 Sinaloa,No especificado,Coeficiente de variación,14.27,19.8,18.52
25 Sinaloa,No especificado,DEFF,1.67,1.52,1.82
26 Sonora,Total,Valor,"2,850,330","1,410,419","1,439,911"
26 Sonora,Total,Error estándar,"48,352","23,082","25,823"
26 Sonora,Total,Límite inferior de confianza,"2,770,789","1,372,448","1,397,430"
26 Sonora,Total,Límite superior de confianza,"2,929,871","1,448,390","1,482,392"
26 Sonora,Total,Coeficiente de variación,1.7,1.64,1.79
26 Sonora,Total,DEFF,7.28,2.63,3.12
26 Sonora,00-04 años,Valor,"252,420","126,505","125,915"
26 Sonora,00-04 años,Error estándar,"5,760","2,919","3,312"
26 Sonora,00-04 años,Límite inferior de confianza,"242,945","121,702","120,466"
26 Sonora,00-04 años,Límite superior de confianza,"261,895","131,308","131,364"
26 Sonora,00-04 años,Coeficiente de variación,2.28,2.31,2.63
26 Sonora,00-04 años,DEFF,2.37,2.12,2.71
26 Sonora,05-09 años,Valor,"260,548","131,009","129,539"
26 Sonora,05-09 años,Error estándar,"5,364","2,867","2,986"
26 Sonora,05-09 años,Límite inferior de confianza,"251,724","126,293","124,627"
26 Sonora,05-09 años,Límite superior de confianza,"269,372","135,725","134,451"
26 Sonora,05-09 años,Coeficiente de variación,2.06,2.19,2.31
26 Sonora,05-09 años,DEFF,1.96,1.91,2.14
26 Sonora,10-14 años,Valor,"265,594","135,914","129,680"
26 Sonora,10-14 años,Error estándar,"5,145","2,839","2,881"
26 Sonora,10-14 años,Límite inferior de confianza,"257,131","131,243","124,940"
26 Sonora,10-14 años,Límite superior de confianza,"274,057","140,585","134,420"
26 Sonora,10-14 años,Coeficiente de variación,1.94,2.09,2.22
26 Sonora,10-14 años,DEFF,1.84,1.86,2.08
26 Sonora,15-19 años,Valor,"259,160","130,439","128,721"
26 Sonora,15-19 años,Error estándar,"5,492","2,792","3,271"
26 Sonora,15-19 años,Límite inferior de confianza,"250,125","125,846","123,340"
26 Sonora,15-19 años,Límite superior de confianza,"268,195","135,032","134,102"
26 Sonora,15-19 años,Coeficiente de variación,2.12,2.14,2.54
26 Sonora,15-19 años,DEFF,2.22,1.97,2.75
26 Sonora,20-24 años,Valor,"246,864","121,065","125,799"
26 Sonora,20-24 años,Error estándar,"5,547","2,802","3,202"
26 Sonora,20-24 años,Límite inferior de confianza,"237,739","116,456","120,531"
26 Sonora,20-24 años,Límite superior de confianza,"255,989","125,674","131,067"
26 Sonora,20-24 años,Coeficiente de variación,2.25,2.31,2.55
26 Sonora,20-24 años,DEFF,2.47,2.26,2.75
26 Sonora,25-29 años,Valor,"215,837","106,416","109,421"
26 Sonora,25-29 años,Error estándar,"4,392","2,434","2,427"
26 Sonora,25-29 años,Límite inferior de confianza,"208,612","102,412","105,428"
26 Sonora,25-29 años,Límite superior de confianza,"223,062","110,420","113,414"
26 Sonora,25-29 años,Coeficiente de variación,2.03,2.29,2.22
26 Sonora,25-29 años,DEFF,1.93,2.14,1.96
26 Sonora,30-34 años,Valor,"210,743","104,011","106,732"
26 Sonora,30-34 años,Error estándar,"4,543","2,458","2,480"
26 Sonora,30-34 años,Límite inferior de confianza,"203,269","99,967","102,652"
26 Sonora,30-34 años,Límite superior de confianza,"218,217","108,055","110,812"
26 Sonora,30-34 años,Coeficiente de variación,2.16,2.36,2.32
26 Sonora,30-34 años,DEFF,2.06,2.15,2.12
26 Sonora,35-39 años,Valor,"213,717","105,298","108,419"
26 Sonora,35-39 años,Error estándar,"5,791","2,812","3,360"
26 Sonora,35-39 años,Límite inferior de confianza,"204,190","100,672","102,892"
26 Sonora,35-39 años,Límite superior de confianza,"223,244","109,924","113,946"
26 Sonora,35-39 años,Coeficiente de variación,2.71,2.67,3.1
26 Sonora,35-39 años,DEFF,3.31,2.8,3.87
26 Sonora,40-44 años,Valor,"199,638","99,499","100,139"
26 Sonora,40-44 años,Error estándar,"4,600","2,340","2,583"
26 Sonora,40-44 años,Límite inferior de confianza,"192,071","95,650","95,889"
26 Sonora,40-44 años,Límite superior de confianza,"207,205","103,348","104,389"
26 Sonora,40-44 años,Coeficiente de variación,2.3,2.35,2.58
26 Sonora,40-44 años,DEFF,2.5,2.31,2.68
26 Sonora,45-49 años,Valor,"163,000","79,657","83,343"
26 Sonora,45-49 años,Error estándar,"3,578","1,900","2,042"
26 Sonora,45-49 años,Límite inferior de confianza,"157,114","76,531","79,984"
26 Sonora,45-49 años,Límite superior de confianza,"168,886","82,783","86,702"
26 Sonora,45-49 años,Coeficiente de variación,2.2,2.39,2.45
26 Sonora,45-49 años,DEFF,2.24,2.3,2.35
26 Sonora,50-54 años,Valor,"149,412","72,098","77,314"
26 Sonora,50-54 años,Error estándar,"3,241","1,668","1,971"
26 Sonora,50-54 años,Límite inferior de confianza,"144,080","69,355","74,072"
26 Sonora,50-54 años,Límite superior de confianza,"154,744","74,841","80,556"
26 Sonora,50-54 años,Coeficiente de variación,2.17,2.31,2.55
26 Sonora,50-54 años,DEFF,2.18,2.1,2.51
26 Sonora,55-59 años,Valor,"125,460","60,680","64,780"
26 Sonora,55-59 años,Error estándar,"2,982","1,605","1,829"
26 Sonora,55-59 años,Límite inferior de confianza,"120,554","58,039","61,772"
26 Sonora,55-59 años,Límite superior de confianza,"130,366","63,321","67,788"
26 Sonora,55-59 años,Coeficiente de variación,2.38,2.65,2.82
26 Sonora,55-59 años,DEFF,2.42,2.54,2.73
26 Sonora,60-64 años,Valor,"96,176","46,957","49,219"
26 Sonora,60-64 años,Error estándar,"2,722","1,405","1,638"
26 Sonora,60-64 años,Límite inferior de confianza,"91,698","44,645","46,524"
26 Sonora,60-64 años,Límite superior de confianza,"100,654","49,269","51,914"
26 Sonora,60-64 años,Coeficiente de variación,2.83,2.99,3.33
26 Sonora,60-64 años,DEFF,2.98,2.78,3.24
26 Sonora,65-69 años,Valor,"69,633","33,596","36,037"
26 Sonora,65-69 años,Error estándar,"1,889","1,127","1,124"
26 Sonora,65-69 años,Límite inferior de confianza,"66,526","31,742","34,187"
26 Sonora,65-69 años,Límite superior de confianza,"72,740","35,450","37,887"
26 Sonora,65-69 años,Coeficiente de variación,2.71,3.36,3.12
26 Sonora,65-69 años,DEFF,2.47,2.89,2.51
26 Sonora,70-74 años,Valor,"49,441","23,579","25,862"
26 Sonora,70-74 años,Error estándar,"1,391",772,906
26 Sonora,70-74 años,Límite inferior de confianza,"47,152","22,309","24,372"
26 Sonora,70-74 años,Límite superior de confianza,"51,730","24,849","27,352"
26 Sonora,70-74 años,Coeficiente de variación,2.81,3.27,3.5
26 Sonora,70-74 años,DEFF,2.3,2.35,2.57
26 Sonora,75 años y más,Valor,"71,186","32,923","38,263"
26 Sonora,75 años y más,Error estándar,"2,057","1,083","1,240"
26 Sonora,75 años y más,Límite inferior de confianza,"67,802","31,141","36,224"
26 Sonora,75 años y más,Límite superior de confianza,"74,570","34,705","40,302"
26 Sonora,75 años y más,Coeficiente de variación,2.89,3.29,3.24
26 Sonora,75 años y más,DEFF,2.44,2.54,2.47
26 Sonora,No especificado,Valor,"1,501",773,728
26 Sonora,No especificado,Error estándar,346,169,224
26 Sonora,No especificado,Límite inferior de confianza,932,495,359
26 Sonora,No especificado,Límite superior de confianza,"2,070","1,051","1,097"
26 Sonora,No especificado,Coeficiente de variación,23.05,21.87,30.77
26 Sonora,No especificado,DEFF,7.17,4.91,7.45
27 Tabasco,Total,Valor,"2,395,272","1,171,592","1,223,680"
27 Tabasco,Total,Error estándar,"97,734","47,895","50,014"
27 Tabasco,Total,Límite inferior de confianza,"2,234,431","1,092,771","1,141,372"
27 Tabasco,Total,Límite superior de confianza,"2,556,113","1,250,413","1,305,988"
27 Tabasco,Total,Coeficiente de variación,4.08,4.09,4.09
27 Tabasco,Total,DEFF,1.5,1.23,1.24
27 Tabasco,00-04 años,Valor,"226,983","116,592","110,391"
27 Tabasco,00-04 años,Error estándar,"10,116","5,382","5,030"
27 Tabasco,00-04 años,Límite inferior de confianza,"210,336","107,735","102,114"
27 Tabasco,00-04 años,Límite superior de confianza,"243,630","125,449","118,668"
27 Tabasco,00-04 años,Coeficiente de variación,4.46,4.62,4.56
27 Tabasco,00-04 años,DEFF,1.12,1.21,1.09
27 Tabasco,05-09 años,Valor,"228,739","117,063","111,676"
27 Tabasco,05-09 años,Error estándar,"10,123","5,301","5,064"
27 Tabasco,05-09 años,Límite inferior de confianza,"212,080","108,340","103,342"
27 Tabasco,05-09 años,Límite superior de confianza,"245,398","125,786","120,010"
27 Tabasco,05-09 años,Coeficiente de variación,4.43,4.53,4.53
27 Tabasco,05-09 años,DEFF,1.11,1.12,1.14
27 Tabasco,10-14 años,Valor,"224,489","112,911","111,578"
27 Tabasco,10-14 años,Error estándar,"9,206","4,708","4,883"
27 Tabasco,10-14 años,Límite inferior de confianza,"209,339","105,163","103,542"
27 Tabasco,10-14 años,Límite superior de confianza,"239,639","120,659","119,614"
27 Tabasco,10-14 años,Coeficiente de variación,4.1,4.17,4.38
27 Tabasco,10-14 años,DEFF,1.01,1,1.12
27 Tabasco,15-19 años,Valor,"213,494","105,239","108,255"
27 Tabasco,15-19 años,Error estándar,"9,039","4,442","4,813"
27 Tabasco,15-19 años,Límite inferior de confianza,"198,618","97,929","100,334"
27 Tabasco,15-19 años,Límite superior de confianza,"228,370","112,549","116,176"
27 Tabasco,15-19 años,Coeficiente de variación,4.23,4.22,4.45
27 Tabasco,15-19 años,DEFF,1.06,1.05,1.12
27 Tabasco,20-24 años,Valor,"216,465","105,428","111,037"
27 Tabasco,20-24 años,Error estándar,"9,984","5,089","5,117"
27 Tabasco,20-24 años,Límite inferior de confianza,"200,034","97,053","102,616"
27 Tabasco,20-24 años,Límite superior de confianza,"232,896","113,803","119,458"
27 Tabasco,20-24 años,Coeficiente de variación,4.61,4.83,4.61
27 Tabasco,20-24 años,DEFF,1.23,1.26,1.23
27 Tabasco,25-29 años,Valor,"193,640","92,779","100,861"
27 Tabasco,25-29 años,Error estándar,"8,930","4,509","4,582"
27 Tabasco,25-29 años,Límite inferior de confianza,"178,944","85,359","93,321"
27 Tabasco,25-29 años,Límite superior de confianza,"208,336","100,199","108,401"
27 Tabasco,25-29 años,Coeficiente de variación,4.61,4.86,4.54
27 Tabasco,25-29 años,DEFF,1.29,1.35,1.26
27 Tabasco,30-34 años,Valor,"189,584","87,860","101,724"
27 Tabasco,30-34 años,Error estándar,"8,686","4,061","4,838"
27 Tabasco,30-34 años,Límite inferior de confianza,"175,289","81,177","93,762"
27 Tabasco,30-34 años,Límite superior de confianza,"203,879","94,543","109,686"
27 Tabasco,30-34 años,Coeficiente de variación,4.58,4.62,4.76
27 Tabasco,30-34 años,DEFF,1.27,1.29,1.3
27 Tabasco,35-39 años,Valor,"181,467","84,422","97,045"
27 Tabasco,35-39 años,Error estándar,"7,489","3,493","4,220"
27 Tabasco,35-39 años,Límite inferior de confianza,"169,142","78,673","90,100"
27 Tabasco,35-39 años,Límite superior de confianza,"193,792","90,171","103,990"
27 Tabasco,35-39 años,Coeficiente de variación,4.13,4.14,4.35
27 Tabasco,35-39 años,DEFF,1.09,1.09,1.14
27 Tabasco,40-44 años,Valor,"161,064","77,368","83,696"
27 Tabasco,40-44 años,Error estándar,"6,491","3,238","3,548"
27 Tabasco,40-44 años,Límite inferior de confianza,"150,382","72,039","77,857"
27 Tabasco,40-44 años,Límite superior de confianza,"171,746","82,697","89,535"
27 Tabasco,40-44 años,Coeficiente de variación,4.03,4.19,4.24
27 Tabasco,40-44 años,DEFF,1.08,1.14,1.14
27 Tabasco,45-49 años,Valor,"133,699","63,769","69,930"
27 Tabasco,45-49 años,Error estándar,"5,942","2,840","3,299"
27 Tabasco,45-49 años,Límite inferior de confianza,"123,919","59,095","64,500"
27 Tabasco,45-49 años,Límite superior de confianza,"143,479","68,443","75,360"
27 Tabasco,45-49 años,Coeficiente de variación,4.44,4.45,4.72
27 Tabasco,45-49 años,DEFF,1.25,1.18,1.37
27 Tabasco,50-54 años,Valor,"118,050","59,359","58,691"
27 Tabasco,50-54 años,Error estándar,"5,595","3,109","2,729"
27 Tabasco,50-54 años,Límite inferior de confianza,"108,843","54,243","54,200"
27 Tabasco,50-54 años,Límite superior de confianza,"127,257","64,475","63,182"
27 Tabasco,50-54 años,Coeficiente de variación,4.74,5.24,4.65
27 Tabasco,50-54 años,DEFF,1.4,1.64,1.28
27 Tabasco,55-59 años,Valor,"89,591","42,774","46,817"
27 Tabasco,55-59 años,Error estándar,"3,698","1,924","1,966"
27 Tabasco,55-59 años,Límite inferior de confianza,"83,506","39,607","43,582"
27 Tabasco,55-59 años,Límite superior de confianza,"95,676","45,941","50,052"
27 Tabasco,55-59 años,Coeficiente de variación,4.13,4.5,4.2
27 Tabasco,55-59 años,DEFF,1.09,1.13,1.15
27 Tabasco,60-64 años,Valor,"70,806","34,282","36,524"
27 Tabasco,60-64 años,Error estándar,"3,260","1,492","2,069"
27 Tabasco,60-64 años,Límite inferior de confianza,"65,441","31,827","33,119"
27 Tabasco,60-64 años,Límite superior de confianza,"76,171","36,737","39,929"
27 Tabasco,60-64 años,Coeficiente de variación,4.6,4.35,5.67
27 Tabasco,60-64 años,DEFF,1.4,1.15,1.92
27 Tabasco,65-69 años,Valor,"52,479","25,420","27,059"
27 Tabasco,65-69 años,Error estándar,"2,427","1,295","1,347"
27 Tabasco,65-69 años,Límite inferior de confianza,"48,486","23,289","24,842"
27 Tabasco,65-69 años,Límite superior de confianza,"56,472","27,551","29,276"
27 Tabasco,65-69 años,Coeficiente de variación,4.62,5.09,4.98
27 Tabasco,65-69 años,DEFF,1.3,1.46,1.36
27 Tabasco,70-74 años,Valor,"36,216","17,467","18,749"
27 Tabasco,70-74 años,Error estándar,"1,672",954,875
27 Tabasco,70-74 años,Límite inferior de confianza,"33,465","15,897","17,310"
27 Tabasco,70-74 años,Límite superior de confianza,"38,967","19,037","20,188"
27 Tabasco,70-74 años,Coeficiente de variación,4.62,5.46,4.67
27 Tabasco,70-74 años,DEFF,1.19,1.39,1.14
27 Tabasco,75 años y más,Valor,"56,795","27,871","28,924"
27 Tabasco,75 años y más,Error estándar,"2,662","1,470","1,362"
27 Tabasco,75 años y más,Límite inferior de confianza,"52,413","25,452","26,683"
27 Tabasco,75 años y más,Límite superior de confianza,"61,177","30,290","31,165"
27 Tabasco,75 años y más,Coeficiente de variación,4.69,5.27,4.71
27 Tabasco,75 años y más,DEFF,1.18,1.31,1.16
27 Tabasco,No especificado,Valor,"1,711",988,723
27 Tabasco,No especificado,Error estándar,306,228,160
27 Tabasco,No especificado,Límite inferior de confianza,"1,207",613,460
27 Tabasco,No especificado,Límite superior de confianza,"2,215","1,363",986
27 Tabasco,No especificado,Coeficiente de variación,17.89,23.04,22.12
27 Tabasco,No especificado,DEFF,2.81,3.73,2.38
28 Tamaulipas,Total,Valor,"3,441,698","1,692,186","1,749,512"
28 Tamaulipas,Total,Error estándar,"62,992","30,953","32,438"
28 Tamaulipas,Total,Límite inferior de confianza,"3,338,071","1,641,266","1,696,148"
28 Tamaulipas,Total,Límite superior de confianza,"3,545,325","1,743,106","1,802,876"
28 Tamaulipas,Total,Coeficiente de variación,1.83,1.83,1.85
28 Tamaulipas,Total,DEFF,3.33,1.98,1.97
28 Tamaulipas,00-04 años,Valor,"301,579","153,304","148,275"
28 Tamaulipas,00-04 años,Error estándar,"7,479","4,015","3,905"
28 Tamaulipas,00-04 años,Límite inferior de confianza,"289,275","146,699","141,851"
28 Tamaulipas,00-04 años,Límite superior de confianza,"313,883","159,909","154,699"
28 Tamaulipas,00-04 años,Coeficiente de variación,2.48,2.62,2.63
28 Tamaulipas,00-04 años,DEFF,1.77,1.83,1.74
28 Tamaulipas,05-09 años,Valor,"321,016","163,260","157,756"
28 Tamaulipas,05-09 años,Error estándar,"7,776","4,071","4,106"
28 Tamaulipas,05-09 años,Límite inferior de confianza,"308,224","156,563","151,001"
28 Tamaulipas,05-09 años,Límite superior de confianza,"333,808","169,957","164,511"
28 Tamaulipas,05-09 años,Coeficiente de variación,2.42,2.49,2.6
28 Tamaulipas,05-09 años,DEFF,1.73,1.69,1.78
28 Tamaulipas,10-14 años,Valor,"314,742","160,292","154,450"
28 Tamaulipas,10-14 años,Error estándar,"6,913","3,757","3,625"
28 Tamaulipas,10-14 años,Límite inferior de confianza,"303,370","154,112","148,486"
28 Tamaulipas,10-14 años,Límite superior de confianza,"326,114","166,472","160,414"
28 Tamaulipas,10-14 años,Coeficiente de variación,2.2,2.34,2.35
28 Tamaulipas,10-14 años,DEFF,1.69,1.7,1.73
28 Tamaulipas,15-19 años,Valor,"298,121","152,327","145,794"
28 Tamaulipas,15-19 años,Error estándar,"6,142","3,323","3,317"
28 Tamaulipas,15-19 años,Límite inferior de confianza,"288,017","146,860","140,338"
28 Tamaulipas,15-19 años,Límite superior de confianza,"308,225","157,794","151,250"
28 Tamaulipas,15-19 años,Coeficiente de variación,2.06,2.18,2.27
28 Tamaulipas,15-19 años,DEFF,1.6,1.63,1.67
28 Tamaulipas,20-24 años,Valor,"285,067","141,736","143,331"
28 Tamaulipas,20-24 años,Error estándar,"6,439","3,283","3,607"
28 Tamaulipas,20-24 años,Límite inferior de confianza,"274,474","136,335","137,397"
28 Tamaulipas,20-24 años,Límite superior de confianza,"295,660","147,137","149,265"
28 Tamaulipas,20-24 años,Coeficiente de variación,2.26,2.32,2.52
28 Tamaulipas,20-24 años,DEFF,1.72,1.74,1.76
28 Tamaulipas,25-29 años,Valor,"257,221","125,148","132,073"
28 Tamaulipas,25-29 años,Error estándar,"6,999","3,595","3,691"
28 Tamaulipas,25-29 años,Límite inferior de confianza,"245,707","119,235","126,001"
28 Tamaulipas,25-29 años,Límite superior de confianza,"268,735","131,061","138,145"
28 Tamaulipas,25-29 años,Coeficiente de variación,2.72,2.87,2.79
28 Tamaulipas,25-29 años,DEFF,1.87,1.88,1.83
28 Tamaulipas,30-34 años,Valor,"257,165","123,612","133,553"
28 Tamaulipas,30-34 años,Error estándar,"6,618","3,501","3,458"
28 Tamaulipas,30-34 años,Límite inferior de confianza,"246,278","117,852","127,865"
28 Tamaulipas,30-34 años,Límite superior de confianza,"268,052","129,372","139,241"
28 Tamaulipas,30-34 años,Coeficiente de variación,2.57,2.83,2.59
28 Tamaulipas,30-34 años,DEFF,1.82,1.91,1.75
28 Tamaulipas,35-39 años,Valor,"257,657","124,448","133,209"
28 Tamaulipas,35-39 años,Error estándar,"5,951","3,120","3,159"
28 Tamaulipas,35-39 años,Límite inferior de confianza,"247,867","119,316","128,012"
28 Tamaulipas,35-39 años,Límite superior de confianza,"267,447","129,580","138,406"
28 Tamaulipas,35-39 años,Coeficiente de variación,2.31,2.51,2.37
28 Tamaulipas,35-39 años,DEFF,1.77,1.84,1.71
28 Tamaulipas,40-44 años,Valor,"249,460","120,261","129,199"
28 Tamaulipas,40-44 años,Error estándar,"5,230","2,618","2,981"
28 Tamaulipas,40-44 años,Límite inferior de confianza,"240,856","115,955","124,294"
28 Tamaulipas,40-44 años,Límite superior de confianza,"258,064","124,567","134,104"
28 Tamaulipas,40-44 años,Coeficiente de variación,2.1,2.18,2.31
28 Tamaulipas,40-44 años,DEFF,1.61,1.56,1.71
28 Tamaulipas,45-49 años,Valor,"212,279","102,936","109,343"
28 Tamaulipas,45-49 años,Error estándar,"4,491","2,388","2,511"
28 Tamaulipas,45-49 años,Límite inferior de confianza,"204,892","99,007","105,212"
28 Tamaulipas,45-49 años,Límite superior de confianza,"219,666","106,865","113,474"
28 Tamaulipas,45-49 años,Coeficiente de variación,2.12,2.32,2.3
28 Tamaulipas,45-49 años,DEFF,1.72,1.84,1.74
28 Tamaulipas,50-54 años,Valor,"183,397","89,005","94,392"
28 Tamaulipas,50-54 años,Error estándar,"3,755","1,987","2,122"
28 Tamaulipas,50-54 años,Límite inferior de confianza,"177,220","85,736","90,901"
28 Tamaulipas,50-54 años,Límite superior de confianza,"189,574","92,274","97,883"
28 Tamaulipas,50-54 años,Coeficiente de variación,2.05,2.23,2.25
28 Tamaulipas,50-54 años,DEFF,1.59,1.64,1.65
28 Tamaulipas,55-59 años,Valor,"144,081","69,046","75,035"
28 Tamaulipas,55-59 años,Error estándar,"2,878","1,593","1,640"
28 Tamaulipas,55-59 años,Límite inferior de confianza,"139,347","66,425","72,337"
28 Tamaulipas,55-59 años,Límite superior de confianza,"148,815","71,667","77,733"
28 Tamaulipas,55-59 años,Coeficiente de variación,2,2.31,2.19
28 Tamaulipas,55-59 años,DEFF,1.44,1.6,1.47
28 Tamaulipas,60-64 años,Valor,"109,956","52,146","57,810"
28 Tamaulipas,60-64 años,Error estándar,"2,289","1,228","1,403"
28 Tamaulipas,60-64 años,Límite inferior de confianza,"106,190","50,126","55,502"
28 Tamaulipas,60-64 años,Límite superior de confianza,"113,722","54,166","60,118"
28 Tamaulipas,60-64 años,Coeficiente de variación,2.08,2.36,2.43
28 Tamaulipas,60-64 años,DEFF,1.45,1.49,1.64
28 Tamaulipas,65-69 años,Valor,"85,929","38,869","47,060"
28 Tamaulipas,65-69 años,Error estándar,"1,855","1,037","1,156"
28 Tamaulipas,65-69 años,Límite inferior de confianza,"82,877","37,163","45,158"
28 Tamaulipas,65-69 años,Límite superior de confianza,"88,981","40,575","48,962"
28 Tamaulipas,65-69 años,Coeficiente de variación,2.16,2.67,2.46
28 Tamaulipas,65-69 años,DEFF,1.47,1.68,1.56
28 Tamaulipas,70-74 años,Valor,"62,766","29,999","32,767"
28 Tamaulipas,70-74 años,Error estándar,"1,493",847,945
28 Tamaulipas,70-74 años,Límite inferior de confianza,"60,310","28,606","31,212"
28 Tamaulipas,70-74 años,Límite superior de confianza,"65,222","31,392","34,322"
28 Tamaulipas,70-74 años,Coeficiente de variación,2.38,2.82,2.88
28 Tamaulipas,70-74 años,DEFF,1.61,1.68,1.81
28 Tamaulipas,75 años y más,Valor,"97,270","43,789","53,481"
28 Tamaulipas,75 años y más,Error estándar,"2,100","1,032","1,391"
28 Tamaulipas,75 años y más,Límite inferior de confianza,"93,815","42,092","51,192"
28 Tamaulipas,75 años y más,Límite superior de confianza,"100,725","45,486","55,770"
28 Tamaulipas,75 años y más,Coeficiente de variación,2.16,2.36,2.6
28 Tamaulipas,75 años y más,DEFF,1.4,1.38,1.62
28 Tamaulipas,No especificado,Valor,"3,992","2,008","1,984"
28 Tamaulipas,No especificado,Error estándar,392,236,243
28 Tamaulipas,No especificado,Límite inferior de confianza,"3,348","1,620","1,585"
28 Tamaulipas,No especificado,Límite superior de confianza,"4,636","2,396","2,383"
28 Tamaulipas,No especificado,Coeficiente de variación,9.81,11.75,12.23
28 Tamaulipas,No especificado,DEFF,2.77,2.69,2.84
29 Tlaxcala,Total,Valor,"1,272,847","614,565","658,282"
29 Tlaxcala,Total,Error estándar,"20,555","10,215","10,419"
29 Tlaxcala,Total,Límite inferior de confianza,"1,239,030","597,760","641,141"
29 Tlaxcala,Total,Límite superior de confianza,"1,306,664","631,370","675,423"
29 Tlaxcala,Total,Coeficiente de variación,1.61,1.66,1.58
29 Tlaxcala,Total,DEFF,2.68,1.39,1.26
29 Tlaxcala,00-04 años,Valor,"114,632","58,491","56,141"
29 Tlaxcala,00-04 años,Error estándar,"2,105","1,133","1,070"
29 Tlaxcala,00-04 años,Límite inferior de confianza,"111,168","56,628","54,380"
29 Tlaxcala,00-04 años,Límite superior de confianza,"118,096","60,354","57,902"
29 Tlaxcala,00-04 años,Coeficiente de variación,1.84,1.94,1.91
29 Tlaxcala,00-04 años,DEFF,1.05,1.08,1.03
29 Tlaxcala,05-09 años,Valor,"122,721","62,416","60,305"
29 Tlaxcala,05-09 años,Error estándar,"2,162","1,105","1,155"
29 Tlaxcala,05-09 años,Límite inferior de confianza,"119,164","60,597","58,405"
29 Tlaxcala,05-09 años,Límite superior de confianza,"126,278","64,235","62,205"
29 Tlaxcala,05-09 años,Coeficiente de variación,1.76,1.77,1.92
29 Tlaxcala,05-09 años,DEFF,1,0.95,1.07
29 Tlaxcala,10-14 años,Valor,"126,639","63,992","62,647"
29 Tlaxcala,10-14 años,Error estándar,"2,257","1,176","1,183"
29 Tlaxcala,10-14 años,Límite inferior de confianza,"122,926","62,058","60,701"
29 Tlaxcala,10-14 años,Límite superior de confianza,"130,352","65,926","64,593"
29 Tlaxcala,10-14 años,Coeficiente de variación,1.78,1.84,1.89
29 Tlaxcala,10-14 años,DEFF,1.02,1,1.06
29 Tlaxcala,15-19 años,Valor,"118,438","59,881","58,557"
29 Tlaxcala,15-19 años,Error estándar,"1,888","1,018",970
29 Tlaxcala,15-19 años,Límite inferior de confianza,"115,332","58,207","56,961"
29 Tlaxcala,15-19 años,Límite superior de confianza,"121,544","61,555","60,153"
29 Tlaxcala,15-19 años,Coeficiente de variación,1.59,1.7,1.66
29 Tlaxcala,15-19 años,DEFF,0.84,0.87,0.84
29 Tlaxcala,20-24 años,Valor,"117,038","57,628","59,410"
29 Tlaxcala,20-24 años,Error estándar,"1,978","1,041","1,023"
29 Tlaxcala,20-24 años,Límite inferior de confianza,"113,783","55,916","57,727"
29 Tlaxcala,20-24 años,Límite superior de confianza,"120,293","59,340","61,093"
29 Tlaxcala,20-24 años,Coeficiente de variación,1.69,1.81,1.72
29 Tlaxcala,20-24 años,DEFF,0.92,0.97,0.89
29 Tlaxcala,25-29 años,Valor,"98,880","46,566","52,314"
29 Tlaxcala,25-29 años,Error estándar,"2,044","1,028","1,085"
29 Tlaxcala,25-29 años,Límite inferior de confianza,"95,518","44,875","50,530"
29 Tlaxcala,25-29 años,Límite superior de confianza,"102,242","48,257","54,098"
29 Tlaxcala,25-29 años,Coeficiente de variación,2.07,2.21,2.07
29 Tlaxcala,25-29 años,DEFF,1.34,1.4,1.26
29 Tlaxcala,30-34 años,Valor,"96,361","43,734","52,627"
29 Tlaxcala,30-34 años,Error estándar,"1,827",893,"1,001"
29 Tlaxcala,30-34 años,Límite inferior de confianza,"93,356","42,265","50,980"
29 Tlaxcala,30-34 años,Límite superior de confianza,"99,366","45,203","54,274"
29 Tlaxcala,30-34 años,Coeficiente de variación,1.9,2.04,1.9
29 Tlaxcala,30-34 años,DEFF,1.09,1.16,1.03
29 Tlaxcala,35-39 años,Valor,"92,148","42,619","49,529"
29 Tlaxcala,35-39 años,Error estándar,"1,554",797,829
29 Tlaxcala,35-39 años,Límite inferior de confianza,"89,591","41,308","48,166"
29 Tlaxcala,35-39 años,Límite superior de confianza,"94,705","43,930","50,892"
29 Tlaxcala,35-39 años,Coeficiente de variación,1.69,1.87,1.67
29 Tlaxcala,35-39 años,DEFF,0.86,0.95,0.81
29 Tlaxcala,40-44 años,Valor,"84,904","39,190","45,714"
29 Tlaxcala,40-44 años,Error estándar,"1,626",820,877
29 Tlaxcala,40-44 años,Límite inferior de confianza,"82,229","37,841","44,272"
29 Tlaxcala,40-44 años,Límite superior de confianza,"87,579","40,539","47,156"
29 Tlaxcala,40-44 años,Coeficiente de variación,1.92,2.09,1.92
29 Tlaxcala,40-44 años,DEFF,1.12,1.23,1.05
29 Tlaxcala,45-49 años,Valor,"69,611","32,207","37,404"
29 Tlaxcala,45-49 años,Error estándar,"1,250",657,674
29 Tlaxcala,45-49 años,Límite inferior de confianza,"67,554","31,126","36,295"
29 Tlaxcala,45-49 años,Límite superior de confianza,"71,668","33,288","38,513"
29 Tlaxcala,45-49 años,Coeficiente de variación,1.8,2.04,1.8
29 Tlaxcala,45-49 años,DEFF,1,1.15,0.92
29 Tlaxcala,50-54 años,Valor,"62,559","29,010","33,549"
29 Tlaxcala,50-54 años,Error estándar,"1,064",557,585
29 Tlaxcala,50-54 años,Límite inferior de confianza,"60,808","28,093","32,587"
